FECHA,GRAVEDAD,ORIGEN_ICAO,DESTINO_ICAO,COMPAÑIA,RETRASO_MIN,HORA_SIN,HORA_COS,MINUTOS_DIA,PRECIP_MOMENTO,TEMP_ESTIMADA,Racha (km/h)
01/01/2026,0,LEMD,LPPT,TAP - Air Portugal,18,0.4226182617406995,-0.9063077870366499,620,0.0,1.1,18.0
01/01/2026,2,LEMD,LIMC,Wizz Air Malta,57,0.4027466898587373,-0.9153114791194471,625,0.0,1.1,18.0
01/01/2026,2,LEMD,ZUCK,Hainan Airlines,47,0.4027466898587373,-0.9153114791194471,625,0.0,1.1,18.0
01/01/2026,1,LEMD,LHBP,Ryanair,44,0.4027466898587373,-0.9153114791194471,625,0.0,1.1,18.0
01/01/2026,0,LEMD,LPPT,Air Europa,15,0.4027466898587373,-0.9153114791194471,625,0.0,1.1,18.0
01/01/2026,0,LEMD,ZSPD,China Eastern Airlines,13,0.3826834323650899,-0.9238795325112867,630,0.0,1.1,18.0
01/01/2026,1,LEMD,MMMY,Aeroméxico,25,0.3826834323650899,-0.9238795325112867,630,0.0,1.1,18.0
01/01/2026,0,LEMD,LEMG,Air Europa,16,0.36243803828370175,-0.9320078692827984,635,0.0,1.1,18.0
01/01/2026,0,LEMD,LECO,Air Europa,14,0.36243803828370175,-0.9320078692827984,635,0.0,1.1,18.0
01/01/2026,0,LEMD,ENGM,Iberia,13,0.36243803828370175,-0.9320078692827984,635,0.0,1.1,18.0
01/01/2026,1,LEMD,EGLL,British Airways,36,0.36243803828370175,-0.9320078692827984,635,0.0,1.1,18.0
01/01/2026,0,LEMD,LPPR,Air Europa,8,0.36243803828370175,-0.9320078692827984,635,0.0,1.1,18.0
01/01/2026,0,LEMD,LEVX,Air Europa,19,0.3420201433256689,-0.9396926207859083,640,0.0,1.1,18.0
01/01/2026,1,LEMD,LGAV,Iberia,30,0.3420201433256689,-0.9396926207859083,640,0.0,1.1,18.0
01/01/2026,0,LEMD,EIDW,Aer Lingus,17,0.3420201433256689,-0.9396926207859083,640,0.0,1.1,18.0
01/01/2026,0,LEMD,EGLL,British Airways,12,1.2246467991473532e-16,-1.0,720,0.0,4.9,18.0
01/01/2026,2,LEMD,KORD,Iberia,49,1.2246467991473532e-16,-1.0,720,0.0,4.9,18.0
01/01/2026,0,LEMD,GCLP,Binter Canarias,9,1.2246467991473532e-16,-1.0,720,0.0,4.9,18.0
01/01/2026,1,LEMD,LKPR,Iberia,23,1.2246467991473532e-16,-1.0,720,0.0,4.9,18.0
01/01/2026,1,LEMD,MGGT,Iberia,38,-0.021814885034560975,-0.9997620270799091,725,0.0,4.9,18.0
01/01/2026,1,LEMD,GMMX,Iberia,25,-0.021814885034560975,-0.9997620270799091,725,0.0,4.9,18.0
01/01/2026,2,LEMD,SKBO,Iberia,57,-0.021814885034560975,-0.9997620270799091,725,0.0,4.9,18.0
01/01/2026,1,LEMD,GCTS,Iberia,24,-0.04361938736533627,-0.9990482215818578,730,0.0,4.9,18.0
01/01/2026,1,LEMD,KJFK,Iberia,26,-0.04361938736533627,-0.9990482215818578,730,0.0,4.9,18.0
01/01/2026,0,LEMD,LPPT,TAP - Air Portugal,16,-0.04361938736533627,-0.9990482215818578,730,0.0,4.9,18.0
01/01/2026,1,LEMD,SEQM,Iberia,39,-0.06540312923014287,-0.9978589232386035,735,0.0,4.9,18.0
01/01/2026,0,LEMD,EDDH,Iberia,11,-0.06540312923014287,-0.9978589232386035,735,0.0,4.9,18.0
01/01/2026,0,LEMD,LLBG,El Al Israel Airlines,19,-0.06540312923014287,-0.9978589232386035,735,0.0,4.9,18.0
